time,precip
2016-03-19,2.5706735
2016-03-20,0.023968367
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-25,1.5153046
2016-03-26,8.036087
2016-03-27,44.37865
2016-03-28,7.8363366
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.1402792
2016-04-01,7.8161077
2016-04-02,10.947066
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.05630122
2016-04-07,15.363505
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.044639338
2016-04-12,11.0311
2016-04-13,2.7273147
2016-04-14,0.11137768
2016-04-15,3.2060235
2016-04-16,0.83227336
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.23310952
2016-04-20,0.025926895
2016-04-21,0.0
2016-04-22,1.1172434
2016-04-23,10.032785
2016-04-24,0.11007777
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.045370154
2016-04-28,4.583313
2016-04-29,10.310927
2016-04-30,0.027633613
2016-05-01,8.518918
2016-05-02,11.621011
2016-05-03,35.265774
2016-05-04,13.424696
2016-05-05,8.690189
2016-05-06,0.069550805
2016-05-07,0.035834886
2016-05-08,0.021173887
2016-05-09,1.2031287
2016-05-10,6.7406282
2016-05-11,4.3069253
2016-05-12,3.6898835
2016-05-13,6.2644897
2016-05-14,6.604605
2016-05-15,0.38789698
2016-05-16,0.0
2016-05-17,0.29953513
2016-05-18,8.815017
2016-05-19,1.0317454
2016-05-20,1.8204099
2016-05-21,16.407866
2016-05-22,1.32842
2016-05-23,0.31669432
2016-05-24,0.02029431
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.22596166
2016-05-29,9.760392
2016-05-30,12.7513075
2016-05-31,7.255213
2016-06-01,5.879926
2016-06-02,11.785459
2016-06-03,5.2651124
2016-06-04,9.054837
2016-06-05,10.200191
2016-06-06,17.112417
2016-06-07,12.936914
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.021812707
2016-06-12,0.39851633
2016-06-13,2.1097105
2016-06-14,0.064815484
2016-06-15,5.0289254
2016-06-16,3.7741227
2016-06-17,1.5642941
2016-06-18,0.84146065
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,2.9712105
2016-06-22,2.2997117
2016-06-23,12.843032
2016-06-24,21.200705
2016-06-25,1.8264582
2016-06-26,0.13175593
2016-06-27,0.00011574805
2016-06-28,1.2140242
2016-06-29,4.2594256
2016-06-30,5.1951523
2016-07-01,11.67739
2016-07-02,3.5230713
2016-07-03,11.534392
2016-07-04,6.6473227
2016-07-05,5.3071594
2016-07-06,11.046347
2016-07-07,1.4719039
2016-07-08,5.477359
2016-07-09,10.485897
2016-07-10,0.06744774
2016-07-11,9.292845
2016-07-12,4.9439864
2016-07-13,8.387994
2016-07-14,1.0273633
2016-07-15,3.3285272
2016-07-16,16.865929
2016-07-17,7.3971043
2016-07-18,0.9592082
2016-07-19,7.3904004
2016-07-20,6.8865285
2016-07-21,0.35221452
2016-07-22,0.03610424
2016-07-23,0.028076211
2016-07-24,0.45786238
2016-07-25,0.023014748
2016-07-26,1.3153872
2016-07-27,7.712364
2016-07-28,7.472239
2016-07-29,0.7021037
2016-07-30,10.898135
2016-07-31,20.67944
2016-08-01,18.216686
2016-08-02,10.759691
2016-08-03,5.424918
2016-08-04,0.07806591
2016-08-05,2.8063161
2016-08-06,3.5857956
2016-08-07,6.036607
2016-08-08,5.710815
2016-08-09,6.7461004
2016-08-10,0.17097302
2016-08-11,0.028899604
2016-08-12,0.011068132
2016-08-13,0.05098884
2016-08-14,0.026385404
2016-08-15,0.8558639
2016-08-16,1.5838627
2016-08-17,0.30861038
2016-08-18,7.3907595
2016-08-19,7.8167543
2016-08-20,8.80994
2016-08-21,0.36876345
2016-08-22,2.8348613
2016-08-23,0.17967863
2016-08-24,0.017090827
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0013215598
2016-08-28,2.48269
2016-08-29,2.8896937
2016-08-30,6.4373264
2016-08-31,5.1042953
2016-09-01,12.341526
2016-09-02,48.384693
2016-09-03,19.013681
2016-09-04,0.0030660827
2016-09-05,1.4041795
2016-09-06,7.4888225
2016-09-07,2.8306499
2016-09-08,2.6738894
2016-09-09,0.16259815
2016-09-10,0.28229296
2016-09-11,0.76424295
2016-09-12,11.927163
2016-09-13,3.4072392
2016-09-14,5.5187616
2016-09-15,8.093729
2016-09-16,0.322961
2016-09-17,0.04848926
2016-09-18,0.4169706
2016-09-19,16.1248
2016-09-20,24.071028
2016-09-21,12.180676
2016-09-22,2.5062182
2016-09-23,2.0827556
2016-09-24,0.056068942
2016-09-25,0.0028788347
2016-09-26,0.008825035
2016-09-27,10.882777
2016-09-28,5.9525256
2016-09-29,20.818274
2016-09-30,13.090164
2016-10-01,20.083399
2016-10-02,7.7741556
2016-10-03,1.7420322
2016-10-04,16.421743
2016-10-05,5.385018
2016-10-06,1.2325741
2016-10-07,23.227888
2016-10-08,61.026897
2016-10-09,13.107592
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.010046916
2016-10-15,0.36764103
2016-10-16,0.00033224968
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.00081464084
2016-10-22,0.075987644
2016-10-23,0.00013289988
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.43296412
2016-10-28,0.09849652
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.34186283
2016-11-01,0.0803257
2016-11-02,0.0
2016-11-03,0.0014470253
2016-11-04,5.717193
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.21798177
2016-11-09,4.32899
2016-11-10,0.31023008
2016-11-11,0.0061588665
2016-11-12,1.8230908
2016-11-13,0.009631892
2016-11-14,3.458303
2016-11-15,0.37160712
2016-11-16,0.042033684
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.4193478
2016-11-23,0.031345207
2016-11-24,0.24107759
2016-11-25,0.0
2016-11-26,0.6893778
2016-11-27,0.0
2016-11-28,0.63351333
2016-11-29,13.53135
2016-11-30,3.3966892
2016-12-01,9.47089
2016-12-02,0.0
2016-12-03,0.1703083
2016-12-04,2.6962132
2016-12-05,5.8358426
2016-12-06,15.227388
2016-12-07,0.0013729917
2016-12-08,0.43993565
2016-12-09,1.1978055
2016-12-10,0.0
2016-12-11,0.25313258
2016-12-12,2.6787765
2016-12-13,4.1223288
2016-12-14,12.847515
2016-12-15,2.9402187
2016-12-16,2.621526
2016-12-17,1.2626455
2016-12-18,0.6191176
2016-12-19,9.234656
2016-12-20,4.337766
2016-12-21,1.5263487
2016-12-22,0.37954488
2016-12-23,0.17871112
2016-12-24,1.189329
2016-12-25,0.24017236
2016-12-26,0.0
2016-12-27,0.313136
2016-12-28,0.53908956
2016-12-29,3.363407
2016-12-30,0.16130678
2016-12-31,1.3533436
2017-01-01,7.493418
2017-01-02,10.073838
2017-01-03,16.283316
2017-01-04,2.3160172
2017-01-05,2.3330789
2017-01-06,1.2304459
2017-01-07,34.582085
2017-01-08,0.69575626
2017-01-09,0.01275767
2017-01-10,0.044864796
2017-01-11,0.7766655
2017-01-12,0.29299816
2017-01-13,0.0004651152
2017-01-14,6.201536e-05
2017-01-15,0.00041477798
2017-01-16,0.0
2017-01-17,2.1977262
2017-01-18,9.743062
2017-01-19,0.0020154992
2017-01-20,16.152596
2017-01-21,0.085287586
2017-01-22,5.241478
2017-01-23,8.938627
2017-01-24,0.13532688
2017-01-25,0.0
2017-01-26,1.2659309
2017-01-27,0.15792935
2017-01-28,0.12979566
